sample,category,count
B_LTX046_SU_T1-R2,6,0
B_LTX046_SU_T1-R2,7,0
B_LTX046_SU_T1-R2,8,0
B_LTX046_SU_T1-R3,1,1
B_LTX046_SU_T1-R3,2,3
B_LTX046_SU_T1-R3,3,13
B_LTX046_SU_T1-R3,4,11
B_LTX046_SU_T1-R3,5,8
B_LTX046_SU_T1-R3,6,2
B_LTX046_SU_T1-R3,7,0
B_LTX046_SU_T1-R3,8,0
B_LTX046_SU_T1-R4,1,1
B_LTX046_SU_T1-R4,2,8
B_LTX046_SU_T1-R4,3,25
B_LTX046_SU_T1-R4,4,3
B_LTX046_SU_T1-R4,5,1
B_LTX046_SU_T1-R4,6,0
B_LTX046_SU_T1-R4,7,0
B_LTX046_SU_T1-R4,8,0
B_LTX048_SU_T1-R1,1,2
B_LTX048_SU_T1-R1,2,2
B_LTX048_SU_T1-R1,3,10
B_LTX048_SU_T1-R1,4,19
B_LTX048_SU_T1-R1,5,11
B_LTX048_SU_T1-R1,6,5
B_LTX048_SU_T1-R1,7,0
B_LTX048_SU_T1-R1,8,4
B_LTX048_SU_T1-R2,1,0
B_LTX048_SU_T1-R2,2,4
B_LTX048_SU_T1-R2,3,11
B_LTX048_SU_T1-R2,4,25
B_LTX048_SU_T1-R2,5,3
B_LTX048_SU_T1-R2,6,3
B_LTX048_SU_T1-R2,7,1
B_LTX048_SU_T1-R2,8,4
B_LTX048_SU_T1-R3,1,4
B_LTX048_SU_T1-R3,2,13
B_LTX048_SU_T1-R3,3,35
B_LTX048_SU_T1-R3,4,10
B_LTX048_SU_T1-R3,5,9
B_LTX048_SU_T1-R3,6,1
B_LTX048_SU_T1-R3,7,3
B_LTX048_SU_T1-R3,8,0
B_LTX048_SU_T1-R4,1,0
B_LTX048_SU_T1-R4,2,2
B_LTX048_SU_T1-R4,3,4
B_LTX048_SU_T1-R4,4,0
B_LTX048_SU_T1-R4,5,0
B_LTX048_SU_T1-R4,6,0
B_LTX048_SU_T1-R4,7,0
B_LTX048_SU_T1-R4,8,0
B_LTX059_SU_T1-R1,1,0
B_LTX059_SU_T1-R1,2,4
B_LTX059_SU_T1-R1,3,7
B_LTX059_SU_T1-R1,4,0
B_LTX059_SU_T1-R1,5,0
B_LTX059_SU_T1-R1,6,0
B_LTX059_SU_T1-R1,7,2
B_LTX059_SU_T1-R1,8,2
B_LTX059_SU_T1-R2,1,0
B_LTX059_SU_T1-R2,2,3
B_LTX059_SU_T1-R2,3,20
B_LTX059_SU_T1-R2,4,9
B_LTX059_SU_T1-R2,5,1
B_LTX059_SU_T1-R2,6,1
B_LTX059_SU_T1-R2,7,0
B_LTX059_SU_T1-R2,8,4
B_LTX059_SU_T1-R3,1,2
B_LTX059_SU_T1-R3,2,9
B_LTX059_SU_T1-R3,3,23
B_LTX059_SU_T1-R3,4,7
B_LTX059_SU_T1-R3,5,1
B_LTX059_SU_T1-R3,6,1
B_LTX059_SU_T1-R3,7,0
B_LTX059_SU_T1-R3,8,6
B_LTX059_SU_T1-R4,1,2
B_LTX059_SU_T1-R4,2,7
B_LTX059_SU_T1-R4,3,16
B_LTX059_SU_T1-R4,4,15
B_LTX059_SU_T1-R4,5,1
B_LTX059_SU_T1-R4,6,2
B_LTX059_SU_T1-R4,7,0
B_LTX059_SU_T1-R4,8,5
B_LTX065_SU_T1-R1,1,4
B_LTX065_SU_T1-R1,2,18
B_LTX065_SU_T1-R1,3,7
B_LTX065_SU_T1-R1,4,1
B_LTX065_SU_T1-R1,5,0
B_LTX065_SU_T1-R1,6,1
B_LTX065_SU_T1-R1,7,0
B_LTX065_SU_T1-R1,8,0
B_LTX065_SU_T1-R2,1,2
B_LTX065_SU_T1-R2,2,24
B_LTX065_SU_T1-R2,3,8
B_LTX065_SU_T1-R2,4,0
B_LTX065_SU_T1-R2,5,1
B_LTX065_SU_T1-R2,6,0
B_LTX065_SU_T1-R2,7,0
B_LTX065_SU_T1-R2,8,0
B_LTX065_SU_T1-R3,1,9
B_LTX065_SU_T1-R3,2,25
B_LTX065_SU_T1-R3,3,7
B_LTX065_SU_T1-R3,4,1
