sample,category,fragment_count,total_fragment_size_bp,total_fragment_size_mb
B_LTX038_SU_T1-R7,5,1,4680858,4.680858
B_LTX038_SU_T1-R7,6,0,0,0
B_LTX038_SU_T1-R7,7,4,15002181,15.002181
B_LTX038_SU_T1-R7,8,3,144495988,144.495988
B_LTX043_SU_T1-R1,1,2,881013,0.881013
B_LTX043_SU_T1-R1,2,12,151421290,151.42129
B_LTX043_SU_T1-R1,3,5,16108342,16.108342
B_LTX043_SU_T1-R1,4,0,0,0
B_LTX043_SU_T1-R1,5,2,1063036,1.063036
B_LTX043_SU_T1-R1,6,3,144179731,144.179731
B_LTX043_SU_T1-R1,7,0,0,0
B_LTX043_SU_T1-R1,8,0,0,0
B_LTX043_SU_T1-R2,1,0,0,0
B_LTX043_SU_T1-R2,2,3,18923859,18.923859
B_LTX043_SU_T1-R2,3,2,299347,0.299347
B_LTX043_SU_T1-R2,4,0,0,0
B_LTX043_SU_T1-R2,5,5,145242767,145.242767
B_LTX043_SU_T1-R2,6,0,0,0
B_LTX043_SU_T1-R2,7,0,0,0
B_LTX043_SU_T1-R2,8,0,0,0
B_LTX046_SU_T1-R1,1,2,1191,0.001191
B_LTX046_SU_T1-R1,2,13,118622999,118.622999
B_LTX046_SU_T1-R1,3,35,779104253,779.104253
B_LTX046_SU_T1-R1,4,22,320720548,320.720548
B_LTX046_SU_T1-R1,5,1,3220639,3.220639
B_LTX046_SU_T1-R1,6,1,7252624,7.252624
B_LTX046_SU_T1-R1,7,1,53409,0.053409
B_LTX046_SU_T1-R1,8,0,0,0
B_LTX046_SU_T1-R2,1,5,902061,0.902061
B_LTX046_SU_T1-R2,2,7,76769240,76.76924
B_LTX046_SU_T1-R2,3,14,434490408,434.490408
B_LTX046_SU_T1-R2,4,12,206752422,206.752422
B_LTX046_SU_T1-R2,5,5,83197893,83.197893
B_LTX046_SU_T1-R2,6,0,0,0
B_LTX046_SU_T1-R2,7,0,0,0
B_LTX046_SU_T1-R2,8,0,0,0
B_LTX046_SU_T1-R3,1,1,1031,0.001031
B_LTX046_SU_T1-R3,2,3,10976048,10.976048
B_LTX046_SU_T1-R3,3,13,147010175,147.010175
B_LTX046_SU_T1-R3,4,11,458557905,458.557905
B_LTX046_SU_T1-R3,5,8,303583347,303.583347
B_LTX046_SU_T1-R3,6,2,1230446,1.230446
B_LTX046_SU_T1-R3,7,0,0,0
B_LTX046_SU_T1-R3,8,0,0,0
B_LTX046_SU_T1-R4,1,1,1240,0.00124
B_LTX046_SU_T1-R4,2,8,120663053,120.663053
B_LTX046_SU_T1-R4,3,25,684091981,684.091981
B_LTX046_SU_T1-R4,4,3,47672291,47.672291
B_LTX046_SU_T1-R4,5,1,6092276,6.092276
B_LTX046_SU_T1-R4,6,0,0,0
B_LTX046_SU_T1-R4,7,0,0,0
B_LTX046_SU_T1-R4,8,0,0,0
B_LTX048_SU_T1-R1,1,2,2734362,2.734362
B_LTX048_SU_T1-R1,2,2,918549,0.918549
B_LTX048_SU_T1-R1,3,10,390445542,390.445542
B_LTX048_SU_T1-R1,4,19,726955579,726.955579
B_LTX048_SU_T1-R1,5,11,396199413,396.199413
B_LTX048_SU_T1-R1,6,5,169864122,169.864122
B_LTX048_SU_T1-R1,7,0,0,0
B_LTX048_SU_T1-R1,8,4,184986067,184.986067
B_LTX048_SU_T1-R2,1,0,0,0
B_LTX048_SU_T1-R2,2,4,11906857,11.906857
B_LTX048_SU_T1-R2,3,11,166803584,166.803584
B_LTX048_SU_T1-R2,4,25,930729575,930.729575
B_LTX048_SU_T1-R2,5,3,59261620,59.26162
B_LTX048_SU_T1-R2,6,3,143953873,143.953873
B_LTX048_SU_T1-R2,7,1,0,0
B_LTX048_SU_T1-R2,8,4,184986067,184.986067
B_LTX048_SU_T1-R3,1,4,2446668,2.446668
B_LTX048_SU_T1-R3,2,13,297325237,297.325237
B_LTX048_SU_T1-R3,3,35,1126341291,1126.341291
B_LTX048_SU_T1-R3,4,10,119694372,119.694372
B_LTX048_SU_T1-R3,5,9,175152546,175.152546
B_LTX048_SU_T1-R3,6,1,1782,0.001782
B_LTX048_SU_T1-R3,7,3,147110892,147.110892
B_LTX048_SU_T1-R3,8,0,0,0
B_LTX048_SU_T1-R4,1,0,0,0
B_LTX048_SU_T1-R4,2,2,960107,0.960107
